match,home_team,away_team,market_name,player_name,outcome_name,player_team,line,over_price,agency,opposition_team,under_price
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Stephon Castle,NA,San Antonio Spurs,22.5,2.7,Betr,Memphis Grizzlies,1.43
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Santi Aldama,NA,Memphis Grizzlies,23.5,1.74,Betr,San Antonio Spurs,2
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Santi Aldama,NA,Memphis Grizzlies,24.5,1.91,Betr,San Antonio Spurs,1.8
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keshad Johnson,NA,Miami Heat,21.5,2.2,Betr,Memphis Grizzlies,1.61
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keon Johnson,NA,Brooklyn Nets,21.5,2.2,Betr,Memphis Grizzlies,1.61
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keldon Johnson,NA,San Antonio Spurs,21.5,2.2,Betr,Memphis Grizzlies,1.61
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keshad Johnson,NA,Miami Heat,22.5,2.5,Betr,Memphis Grizzlies,1.45
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keon Johnson,NA,Brooklyn Nets,22.5,2.5,Betr,Memphis Grizzlies,1.45
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keldon Johnson,NA,San Antonio Spurs,22.5,2.5,Betr,Memphis Grizzlies,1.45
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keshad Johnson,NA,Miami Heat,23.5,2.9,Betr,Memphis Grizzlies,1.38
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keon Johnson,NA,Brooklyn Nets,23.5,2.9,Betr,Memphis Grizzlies,1.38
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Keldon Johnson,NA,San Antonio Spurs,23.5,2.9,Betr,Memphis Grizzlies,1.38
Memphis Grizzlies v San Antonio Spurs,Memphis Grizzlies,San Antonio Spurs,Player PRAs,Jaren Jackson Jr.,NA,Memphis Grizzlies,35.5,1.95,Betr,San Antonio Spurs,1.8
