match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs,Utah Jazz,Player Blocks,3.5,1.65,NA,TAB,579449,NA
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Victor Wembanyama,San Antonio Spurs,Utah Jazz,Player Blocks,4.5,2.4,1.5,TAB,579450,578645
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Walker Kessler,Utah Jazz,San Antonio Spurs,Player Blocks,1.5,1.35,NA,TAB,579465,NA
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Walker Kessler,Utah Jazz,San Antonio Spurs,Player Blocks,2.5,2.05,1.68,TAB,579466,578583
Utah Jazz v San Antonio Spurs,Utah Jazz,San Antonio Spurs,Zach Collins,San Antonio Spurs,Utah Jazz,Player Blocks,0.5,2,1.75,TAB,578732,578521
Phoenix Suns v Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,Anthony Davis,Los Angeles Lakers,Phoenix Suns,Player Blocks,0.5,1.12,NA,TAB,591718,NA
Phoenix Suns v Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,Anthony Davis,Los Angeles Lakers,Phoenix Suns,Player Blocks,1.5,1.72,2.05,TAB,591719,590335
Phoenix Suns v Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,Bradley Beal,Phoenix Suns,Los Angeles Lakers,Player Blocks,0.5,2,1.72,TAB,591710,591247
Phoenix Suns v Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,Devin Booker,Phoenix Suns,Los Angeles Lakers,Player Blocks,0.5,2.5,1.46,TAB,591452,590511
Phoenix Suns v Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,NA,NA,NA,Player Blocks,0.5,1.9,1.85,TAB,591746,591709
Phoenix Suns v Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,Kevin Durant,Phoenix Suns,Los Angeles Lakers,Player Blocks,0.5,1.42,NA,TAB,591326,NA
Phoenix Suns v Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,Kevin Durant,Phoenix Suns,Los Angeles Lakers,Player Blocks,1.5,2.9,1.36,TAB,591327,590423
Phoenix Suns v Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,LeBron James,Los Angeles Lakers,Phoenix Suns,Player Blocks,0.5,3,1.34,TAB,590734,591051
Phoenix Suns v Los Angeles Lakers,Phoenix Suns,Los Angeles Lakers,NA,NA,NA,Player Blocks,0.5,2.1,1.65,TAB,590626,590809
