match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,event_id,outcome_name,outcome_id,fixed_market_id,opposition_team,under_price,outcome_name_unders,outcome_id_unders,fixed_market_id_unders
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Marcus Smart,Los Angeles Lakers,21.5,3,BetRight,55328652,Marcus Smart 22+,5,300162655,Dallas Mavericks,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Max Christie,Dallas Mavericks,9.5,1.01,BetRight,55328653,Max Christie 10+,1,300162656,Los Angeles Lakers,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Max Christie,Dallas Mavericks,14.5,1.11,BetRight,55328653,Max Christie 15+,2,300162660,Los Angeles Lakers,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Max Christie,Dallas Mavericks,19.5,1.5,BetRight,55328653,Max Christie 20+,3,300162657,Los Angeles Lakers,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Max Christie,Dallas Mavericks,24.5,2.6,BetRight,55328653,Max Christie 25+,4,300162659,Los Angeles Lakers,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Max Christie,Dallas Mavericks,29.5,5.5,BetRight,55328653,Max Christie 30+,5,300162658,Los Angeles Lakers,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Naji Marshall,Dallas Mavericks,19.5,1.07,BetRight,55328654,Naji Marshall 20+,2,300162665,Los Angeles Lakers,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Naji Marshall,Dallas Mavericks,24.5,1.35,BetRight,55328654,Naji Marshall 25+,3,300162662,Los Angeles Lakers,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Naji Marshall,Dallas Mavericks,29.5,2.1,BetRight,55328654,Naji Marshall 30+,4,300162664,Los Angeles Lakers,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Naji Marshall,Dallas Mavericks,34.5,4.33,BetRight,55328654,Naji Marshall 35+,5,300162661,Los Angeles Lakers,NA,NA,NA,NA
Los Angeles Lakers v Dallas Mavericks,Los Angeles Lakers,Dallas Mavericks,Player PRAs,Naji Marshall,Dallas Mavericks,39.5,9.5,BetRight,55328654,Naji Marshall 40+,6,300186912,Los Angeles Lakers,NA,NA,NA,NA
