match,home_team,away_team,player_name,player_team,opposition_team,market_name,line,over_price,under_price,agency,prop_id,under_prop_id
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Cedric Coward,Memphis Grizzlies,Detroit Pistons,Player Points,14.5,2.5,NA,TAB,633484,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Santi Aldama,Memphis Grizzlies,Detroit Pistons,Player Points,14.5,2.7,NA,TAB,633483,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ronald Holland II,Detroit Pistons,Memphis Grizzlies,Player Points,14.5,2.8,NA,TAB,633487,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Duncan Robinson,Detroit Pistons,Memphis Grizzlies,Player Points,14.5,2.8,NA,TAB,633482,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Caris LeVert,Detroit Pistons,Memphis Grizzlies,Player Points,14.5,3.6,NA,TAB,633485,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jaylen Wells,Memphis Grizzlies,Detroit Pistons,Player Points,14.5,3.75,NA,TAB,633472,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Isaiah Stewart,Detroit Pistons,Memphis Grizzlies,Player Points,14.5,3.75,NA,TAB,633489,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Kentavious C-Pope,NA,NA,Player Points,14.5,4.25,NA,TAB,633474,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jock Landale,Memphis Grizzlies,Detroit Pistons,Player Points,14.5,7,NA,TAB,633476,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Cade Cunningham,Detroit Pistons,Memphis Grizzlies,Player Points,19.5,1.15,NA,TAB,633501,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ja Morant,Memphis Grizzlies,Detroit Pistons,Player Points,19.5,1.33,NA,TAB,633495,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jaren Jackson Jr.,Memphis Grizzlies,Detroit Pistons,Player Points,19.5,1.85,NA,TAB,633497,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jalen Duren,Detroit Pistons,Memphis Grizzlies,Player Points,19.5,3.2,NA,TAB,633507,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ausar Thompson,Detroit Pistons,Memphis Grizzlies,Player Points,19.5,3.4,NA,TAB,633505,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Cedric Coward,Memphis Grizzlies,Detroit Pistons,Player Points,19.5,5.5,NA,TAB,633513,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Santi Aldama,Memphis Grizzlies,Detroit Pistons,Player Points,19.5,6.5,NA,TAB,633511,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Duncan Robinson,Detroit Pistons,Memphis Grizzlies,Player Points,19.5,6.5,NA,TAB,633509,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Caris LeVert,Detroit Pistons,Memphis Grizzlies,Player Points,19.5,9,NA,TAB,633514,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jaylen Wells,Memphis Grizzlies,Detroit Pistons,Player Points,19.5,9,NA,TAB,633499,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Cade Cunningham,Detroit Pistons,Memphis Grizzlies,Player Points,24.5,1.5,NA,TAB,633519,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ja Morant,Memphis Grizzlies,Detroit Pistons,Player Points,24.5,1.85,NA,TAB,633516,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jaren Jackson Jr.,Memphis Grizzlies,Detroit Pistons,Player Points,24.5,3.4,NA,TAB,633517,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jalen Duren,Detroit Pistons,Memphis Grizzlies,Player Points,24.5,7.5,NA,TAB,633525,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ausar Thompson,Detroit Pistons,Memphis Grizzlies,Player Points,24.5,9,NA,TAB,633523,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Cade Cunningham,Detroit Pistons,Memphis Grizzlies,Player Points,29.5,2.15,NA,TAB,633532,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ja Morant,Memphis Grizzlies,Detroit Pistons,Player Points,29.5,3,NA,TAB,633530,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Jaren Jackson Jr.,Memphis Grizzlies,Detroit Pistons,Player Points,29.5,7.5,NA,TAB,633531,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Cade Cunningham,Detroit Pistons,Memphis Grizzlies,Player Points,34.5,3.75,NA,TAB,633544,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Ja Morant,Memphis Grizzlies,Detroit Pistons,Player Points,34.5,5.5,NA,TAB,633542,NA
Memphis Grizzlies v Detroit Pistons,Memphis Grizzlies,Detroit Pistons,Cade Cunningham,Detroit Pistons,Memphis Grizzlies,Player Points,39.5,8,NA,TAB,633548,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Cameron Johnson,Denver Nuggets,Sacramento Kings,Player Points,4.5,1.02,NA,TAB,636258,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Tim Hardaway Jr.,Denver Nuggets,Sacramento Kings,Player Points,4.5,1.11,NA,TAB,636261,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Peyton Watson,Denver Nuggets,Sacramento Kings,Player Points,4.5,1.38,NA,TAB,636262,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Jonas Valanciunas,NA,NA,Player Points,4.5,1.48,NA,TAB,636263,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Bruce Brown,Denver Nuggets,Sacramento Kings,Player Points,4.5,1.5,NA,TAB,636264,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Aaron Gordon,Denver Nuggets,Sacramento Kings,Player Points,9.5,1.09,NA,TAB,635806,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Domantas Sabonis,Sacramento Kings,Denver Nuggets,Player Points,9.5,1.14,NA,TAB,635809,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Christian Braun,Denver Nuggets,Sacramento Kings,Player Points,9.5,1.32,NA,TAB,635808,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Dennis Schr<c3><b6>der,NA,NA,Player Points,9.5,1.35,NA,TAB,635811,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Cameron Johnson,Denver Nuggets,Sacramento Kings,Player Points,9.5,1.38,NA,TAB,635807,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Tim Hardaway Jr.,Denver Nuggets,Sacramento Kings,Player Points,9.5,1.8,NA,TAB,635812,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Keon Ellis,Sacramento Kings,Denver Nuggets,Player Points,9.5,2.4,NA,TAB,635817,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Jonas Valanciunas,NA,NA,Player Points,9.5,2.5,NA,TAB,635813,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Peyton Watson,Denver Nuggets,Sacramento Kings,Player Points,9.5,3.1,NA,TAB,635814,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Bruce Brown,Denver Nuggets,Sacramento Kings,Player Points,9.5,3.2,NA,TAB,635815,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Nique Clifford,Sacramento Kings,Denver Nuggets,Player Points,9.5,3.8,NA,TAB,635818,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Drew Eubanks,Sacramento Kings,Denver Nuggets,Player Points,9.5,5.5,NA,TAB,635820,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Nikola Joki<c4><87>,NA,NA,Player Points,14.5,1.04,NA,TAB,635839,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Jamal Murray,Denver Nuggets,Sacramento Kings,Player Points,14.5,1.09,NA,TAB,635843,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Zach LaVine,Sacramento Kings,Denver Nuggets,Player Points,14.5,1.1,NA,TAB,635850,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,DeMar DeRozan,Sacramento Kings,Denver Nuggets,Player Points,14.5,1.22,NA,TAB,635852,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Aaron Gordon,Denver Nuggets,Sacramento Kings,Player Points,14.5,1.52,NA,TAB,635846,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Domantas Sabonis,Sacramento Kings,Denver Nuggets,Player Points,14.5,1.65,NA,TAB,635854,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Christian Braun,Denver Nuggets,Sacramento Kings,Player Points,14.5,2.3,NA,TAB,635849,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Cameron Johnson,Denver Nuggets,Sacramento Kings,Player Points,14.5,2.4,NA,TAB,635848,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Dennis Schr<c3><b6>der,NA,NA,Player Points,14.5,2.4,NA,TAB,635858,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Tim Hardaway Jr.,Denver Nuggets,Sacramento Kings,Player Points,14.5,3.5,NA,TAB,635859,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Keon Ellis,Sacramento Kings,Denver Nuggets,Player Points,14.5,7,NA,TAB,635862,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Jonas Valanciunas,NA,NA,Player Points,14.5,8,NA,TAB,635860,NA
Denver Nuggets v Sacramento Kings,Denver Nuggets,Sacramento Kings,Nikola Joki<c4><87>,NA,NA,Player Points,19.5,1.26,NA,TAB,635865,NA
