match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Goga Bitadze,Orlando Magic,Golden State Warriors,1.5,2.3,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Anthony Black,Orlando Magic,Golden State Warriors,1.5,2.8,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Stephen Curry,Golden State Warriors,Orlando Magic,1.5,6.8,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Franz Wagner,Orlando Magic,Golden State Warriors,1.5,8.75,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Jonathan Isaac,Orlando Magic,Golden State Warriors,1.5,2.35,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Desmond Bane,Orlando Magic,Golden State Warriors,1.5,9.5,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Tristan da Silva,Orlando Magic,Golden State Warriors,1.5,8.25,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Moses Moody,Golden State Warriors,Orlando Magic,1.5,4,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Al Horford,Golden State Warriors,Orlando Magic,1.5,3.6,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Wendell Carter Jr.,Orlando Magic,Golden State Warriors,1.5,3.1,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Mark Williams,Phoenix Suns,Portland Trail Blazers,2.5,3,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Donovan Clingan,Portland Trail Blazers,Phoenix Suns,2.5,3.6,NA,Neds
Orlando Magic v Golden State Warriors,Orlando Magic,Golden State Warriors,Player Blocks,Goga Bitadze,Orlando Magic,Golden State Warriors,3.5,11.5,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Kentavious Caldwell-Pope,Memphis Grizzlies,San Antonio Spurs,1.5,8.75,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Santi Aldama,Memphis Grizzlies,San Antonio Spurs,1.5,7.25,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Julian Champagnie,San Antonio Spurs,Memphis Grizzlies,1.5,5.8,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Jeremy Sochan,San Antonio Spurs,Memphis Grizzlies,1.5,7.25,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Vince Williams Jr.,Memphis Grizzlies,San Antonio Spurs,1.5,7.75,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Jaren Jackson Jr.,Memphis Grizzlies,San Antonio Spurs,1.5,2.3,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Cedric Coward,Memphis Grizzlies,San Antonio Spurs,1.5,8.5,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Zach Edey,Memphis Grizzlies,San Antonio Spurs,1.5,1.9,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Luke Kornet,San Antonio Spurs,Memphis Grizzlies,1.5,1.73,NA,Neds
San Antonio Spurs v Memphis Grizzlies,San Antonio Spurs,Memphis Grizzlies,Player Blocks,Harrison Barnes,San Antonio Spurs,Memphis Grizzlies,1.5,9.75,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Collin Gillespie,Phoenix Suns,Portland Trail Blazers,0.5,2.6,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Jerami Grant,Portland Trail Blazers,Phoenix Suns,0.5,2.55,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Shaedon Sharpe,Portland Trail Blazers,Phoenix Suns,0.5,3.5,NA,Neds
Portland Trail Blazers v Phoenix Suns,Portland Trail Blazers,Phoenix Suns,Player Blocks,Dillon Brooks,Phoenix Suns,Portland Trail Blazers,0.5,2.75,NA,Neds
