match,home_team,away_team,market_name,player_name,player_team,line,over_price,agency,opposition_team
Dallas Mavericks v Minnesota Timberwolves,Dallas Mavericks,Minnesota Timberwolves,Player Steals,Naz Reid,Minnesota Timberwolves,1.5,3.5,BetMakers,Dallas Mavericks
Dallas Mavericks v Minnesota Timberwolves,Dallas Mavericks,Minnesota Timberwolves,Player Steals,P.J. Washington,Dallas Mavericks,0.5,1.57,BetMakers,Minnesota Timberwolves
Dallas Mavericks v Minnesota Timberwolves,Dallas Mavericks,Minnesota Timberwolves,Player Steals,P.J. Washington,Dallas Mavericks,1.5,3.5999999999999996,BetMakers,Minnesota Timberwolves
Dallas Mavericks v Minnesota Timberwolves,Dallas Mavericks,Minnesota Timberwolves,Player Steals,Rudy Gobert,Minnesota Timberwolves,0.5,1.57,BetMakers,Dallas Mavericks
Dallas Mavericks v Minnesota Timberwolves,Dallas Mavericks,Minnesota Timberwolves,Player Steals,Rudy Gobert,Minnesota Timberwolves,1.5,3.5999999999999996,BetMakers,Dallas Mavericks
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Alperen Sengün,Houston Rockets,0.5,1.29,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Alperen Sengün,Houston Rockets,1.5,2.25,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Alperen Sengün,Houston Rockets,2.5,4.75,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Amen Thompson,Houston Rockets,0.5,1.29,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Amen Thompson,Houston Rockets,1.5,2.25,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Amen Thompson,Houston Rockets,2.5,4.75,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,De'Aaron Fox,San Antonio Spurs,0.5,1.45,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,De'Aaron Fox,San Antonio Spurs,1.5,2.9,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,De'Aaron Fox,San Antonio Spurs,2.5,7,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Devin Vassell,San Antonio Spurs,0.5,1.86,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Devin Vassell,San Antonio Spurs,1.5,4.75,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Harrison Barnes,San Antonio Spurs,0.5,2.15,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Harrison Barnes,San Antonio Spurs,1.5,6.5,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Jabari Smith Jr.,Houston Rockets,0.5,1.67,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Jabari Smith Jr.,Houston Rockets,1.5,4,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Julian Champagnie,San Antonio Spurs,0.5,1.68,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Julian Champagnie,San Antonio Spurs,1.5,3.8999999999999995,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Keldon Johnson,San Antonio Spurs,0.5,1.7299999999999998,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Keldon Johnson,San Antonio Spurs,1.5,4.1,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Kevin Durant,Houston Rockets,0.5,1.7799999999999998,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Kevin Durant,Houston Rockets,1.5,4.6,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Reed Sheppard,Houston Rockets,0.5,1.7,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Reed Sheppard,Houston Rockets,1.5,4.1,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Stephon Castle,San Antonio Spurs,0.5,1.4,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Stephon Castle,San Antonio Spurs,1.5,2.75,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Stephon Castle,San Antonio Spurs,2.5,6.25,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Tari Eason,Houston Rockets,0.5,1.26,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Tari Eason,Houston Rockets,1.5,2.2,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Tari Eason,Houston Rockets,2.5,4.6,BetMakers,San Antonio Spurs
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Victor Wembanyama,San Antonio Spurs,0.5,1.6,BetMakers,Houston Rockets
Houston Rockets v San Antonio Spurs,Houston Rockets,San Antonio Spurs,Player Steals,Victor Wembanyama,San Antonio Spurs,1.5,3.5999999999999996,BetMakers,Houston Rockets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Brandon Miller,Charlotte Hornets,0.5,1.53,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Brandon Miller,Charlotte Hornets,1.5,3.25,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Brandon Miller,Charlotte Hornets,2.5,8,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Cam Spencer,Memphis Grizzlies,0.5,1.57,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Cam Spencer,Memphis Grizzlies,1.5,3.5999999999999996,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Cedric Coward,Memphis Grizzlies,0.5,2.05,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Cedric Coward,Memphis Grizzlies,1.5,6.25,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Collin Sexton,Charlotte Hornets,0.5,1.8200000000000003,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Collin Sexton,Charlotte Hornets,1.5,4.6,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,GG Jackson,Memphis Grizzlies,0.5,1.91,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,GG Jackson,Memphis Grizzlies,1.5,5.25,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Grant Williams,Charlotte Hornets,0.5,1.8800000000000001,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Grant Williams,Charlotte Hornets,1.5,4.75,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Jaren Jackson Jr.,Memphis Grizzlies,0.5,1.5,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Jaren Jackson Jr.,Memphis Grizzlies,1.5,3.3,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Jaylen Wells,Memphis Grizzlies,0.5,1.62,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Jaylen Wells,Memphis Grizzlies,1.5,3.8000000000000003,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Jock Landale,Memphis Grizzlies,0.5,1.7799999999999998,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Jock Landale,Memphis Grizzlies,1.5,4.6,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Kentavious Caldwell-Pope,Memphis Grizzlies,0.5,1.7,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Kentavious Caldwell-Pope,Memphis Grizzlies,1.5,4.33,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Kon Knueppel,Charlotte Hornets,0.5,1.7999999999999998,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Kon Knueppel,Charlotte Hornets,1.5,4.6,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Lamelo  Ball,Charlotte Hornets,0.5,1.5,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Lamelo  Ball,Charlotte Hornets,1.5,3.2,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Lamelo  Ball,Charlotte Hornets,2.5,7.5,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Miles Bridges,Charlotte Hornets,0.5,2.3,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Miles Bridges,Charlotte Hornets,1.5,7,BetMakers,Memphis Grizzlies
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Vince Williams Jr.,Memphis Grizzlies,0.5,1.91,BetMakers,Charlotte Hornets
Memphis Grizzlies v Charlotte Hornets,Memphis Grizzlies,Charlotte Hornets,Player Steals,Vince Williams Jr.,Memphis Grizzlies,1.5,5.25,BetMakers,Charlotte Hornets
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Ace Bailey,Utah Jazz,0.5,1.65,BetMakers,Golden State Warriors
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Ace Bailey,Utah Jazz,1.5,3.8999999999999995,BetMakers,Golden State Warriors
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Brandin Podziemski,Golden State Warriors,0.5,1.42,BetMakers,Utah Jazz
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Brandin Podziemski,Golden State Warriors,1.5,3,BetMakers,Utah Jazz
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Brandin Podziemski,Golden State Warriors,2.5,7,BetMakers,Utah Jazz
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Draymond Green,Golden State Warriors,0.5,1.5,BetMakers,Utah Jazz
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Draymond Green,Golden State Warriors,1.5,3.3,BetMakers,Utah Jazz
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Draymond Green,Golden State Warriors,2.5,8,BetMakers,Utah Jazz
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Jusuf Nurkic,Utah Jazz,0.5,1.5,BetMakers,Golden State Warriors
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Jusuf Nurkic,Utah Jazz,1.5,3.2,BetMakers,Golden State Warriors
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Jusuf Nurkic,Utah Jazz,2.5,7.5,BetMakers,Golden State Warriors
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Keyonte George,Utah Jazz,0.5,1.38,BetMakers,Golden State Warriors
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Keyonte George,Utah Jazz,1.5,2.6,BetMakers,Golden State Warriors
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Keyonte George,Utah Jazz,2.5,5.75,BetMakers,Golden State Warriors
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Lauri Elias Markkanen,Utah Jazz,0.5,1.68,BetMakers,Golden State Warriors
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Lauri Elias Markkanen,Utah Jazz,1.5,4.1,BetMakers,Golden State Warriors
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Moses Moody,Golden State Warriors,0.5,1.55,BetMakers,Utah Jazz
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Moses Moody,Golden State Warriors,1.5,3.4,BetMakers,Utah Jazz
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Moses Moody,Golden State Warriors,2.5,8.5,BetMakers,Utah Jazz
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Stephen Curry,Golden State Warriors,0.5,1.48,BetMakers,Utah Jazz
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Stephen Curry,Golden State Warriors,1.5,3.25,BetMakers,Utah Jazz
Utah Jazz v Golden State Warriors,Utah Jazz,Golden State Warriors,Player Steals,Stephen Curry,Golden State Warriors,2.5,7.5,BetMakers,Utah Jazz
