match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Christian Braun,Denver Nuggets,Los Angeles Lakers,1.5,2.05,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Russell Westbrook,Denver Nuggets,Los Angeles Lakers,1.5,1.87,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Jamal Murray,Denver Nuggets,Los Angeles Lakers,1.5,1.7,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Nikola Jokic,NA,NA,1.5,1.6400000000000001,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,LeBron James,Los Angeles Lakers,Denver Nuggets,1.5,2.35,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Dalton Knecht,Los Angeles Lakers,Denver Nuggets,1.5,3.8,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Austin Reaves,Los Angeles Lakers,Denver Nuggets,1.5,2.6,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Peyton Watson,Denver Nuggets,Los Angeles Lakers,1.5,2.4,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Michael Porter Jr.,Denver Nuggets,Los Angeles Lakers,1.5,3.25,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,D'Angelo Russell,Los Angeles Lakers,Denver Nuggets,1.5,3.45,NA,Neds
Los Angeles Lakers v Denver Nuggets,Los Angeles Lakers,Denver Nuggets,Player Steals,Cam Reddish,Los Angeles Lakers,Denver Nuggets,1.5,2.75,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Tari Eason,Houston Rockets,Portland Trail Blazers,1.5,1.32,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Alperen Sengun,Houston Rockets,Portland Trail Blazers,1.5,1.6800000000000002,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Dillon Brooks,Houston Rockets,Portland Trail Blazers,1.5,2.75,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Deni Avdija,Portland Trail Blazers,Houston Rockets,1.5,3.5,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Amen Thompson,Houston Rockets,Portland Trail Blazers,1.5,1.78,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Shaedon Sharpe,Portland Trail Blazers,Houston Rockets,1.5,2.55,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Dalano Banton,Portland Trail Blazers,Houston Rockets,1.5,2.25,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Reed Sheppard,Houston Rockets,Portland Trail Blazers,1.5,3.4,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Toumani Camara,Portland Trail Blazers,Houston Rockets,1.5,1.78,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Fred VanVleet,Houston Rockets,Portland Trail Blazers,1.5,1.42,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Jalen Green,Houston Rockets,Portland Trail Blazers,1.5,2.35,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Donovan Clingan,Portland Trail Blazers,Houston Rockets,1.5,2.7,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Jerami Grant,Portland Trail Blazers,Houston Rockets,1.5,2.6,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Anfernee Simons,Portland Trail Blazers,Houston Rockets,1.5,3.5,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,LaMelo Ball,Charlotte Hornets,Milwaukee Bucks,3.5,6,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Alperen Sengun,Houston Rockets,Portland Trail Blazers,3.5,6.75,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Amen Thompson,Houston Rockets,Portland Trail Blazers,3.5,7.75,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Fred VanVleet,Houston Rockets,Portland Trail Blazers,3.5,4.2,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Toumani Camara,Portland Trail Blazers,Houston Rockets,3.5,7.75,NA,Neds
Houston Rockets v Portland Trail Blazers,Houston Rockets,Portland Trail Blazers,Player Steals,Tari Eason,Houston Rockets,Portland Trail Blazers,3.5,3.35,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Brook Lopez,Milwaukee Bucks,Charlotte Hornets,1.5,2.55,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Brandon Miller,Charlotte Hornets,Milwaukee Bucks,1.5,2.05,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Cody Martin,Charlotte Hornets,Milwaukee Bucks,1.5,2.35,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Andre Jackson Jr.,Milwaukee Bucks,Charlotte Hornets,1.5,2.55,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Damian Lillard,Milwaukee Bucks,Charlotte Hornets,1.5,2.9,NA,Neds
Milwaukee Bucks v Charlotte Hornets,Milwaukee Bucks,Charlotte Hornets,Player Steals,Gary Trent,NA,NA,1.5,2.65,NA,Neds
