match,home_team,away_team,market_name,player_name,player_team,opposition_team,line,over_price,under_price,agency
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Toumani Camara,Portland Trail Blazers,Philadelphia 76ers,11.5,9.75,NA,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Donovan Clingan,Portland Trail Blazers,Philadelphia 76ers,11.5,3.35,NA,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Andre Drummond,Philadelphia 76ers,Portland Trail Blazers,11.5,2.95,NA,Neds
Philadelphia 76ers v Portland Trail Blazers,Philadelphia 76ers,Portland Trail Blazers,Player Rebounds,Deni Avdija,Portland Trail Blazers,Philadelphia 76ers,11.5,7.25,NA,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Moses Moody,Golden State Warriors,Charlotte Hornets,3.5,2.2,1.6400000000000001,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Zach Edey,Memphis Grizzlies,Atlanta Hawks,11.5,3.5,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Onyeka Okongwu,Atlanta Hawks,Memphis Grizzlies,11.5,2.65,NA,Neds
Memphis Grizzlies v Atlanta Hawks,Memphis Grizzlies,Atlanta Hawks,Player Rebounds,Clint Capela,Atlanta Hawks,Memphis Grizzlies,11.5,5.4,NA,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Jonas Valanciunas,NA,NA,13.5,2.2,NA,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Jonas Valanciunas,NA,NA,9.5,1.24,NA,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Keegan Murray,Sacramento Kings,Dallas Mavericks,9.5,3.75,NA,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Kyrie Irving,Dallas Mavericks,Sacramento Kings,9.5,7,NA,Neds
Dallas Mavericks v Sacramento Kings,Dallas Mavericks,Sacramento Kings,Player Rebounds,Naji Marshall,Dallas Mavericks,Sacramento Kings,9.5,4.8,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bub Carrington,Washington Wizards,Miami Heat,4.5,1.85,1.9,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Andrew Wiggins,Miami Heat,Washington Wizards,3.5,1.19,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Kyshawn George,Washington Wizards,Miami Heat,3.5,1.26,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bub Carrington,Washington Wizards,Miami Heat,3.5,1.38,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Richaun Holmes,Washington Wizards,Miami Heat,3.5,1.18,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Alexandre Sarr,NA,NA,3.5,1.12,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Bilal Coulibaly,Washington Wizards,Miami Heat,3.5,1.28,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Tyler Herro,Miami Heat,Washington Wizards,3.5,1.19,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Justin Champagnie,Washington Wizards,Miami Heat,3.5,1.4,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Khris Middleton,Washington Wizards,Miami Heat,3.5,1.53,NA,Neds
Miami Heat v Washington Wizards,Miami Heat,Washington Wizards,Player Rebounds,Duncan Robinson,Miami Heat,Washington Wizards,3.5,1.75,1.9100000000000001,Neds
Charlotte Hornets v Golden State Warriors,Charlotte Hornets,Golden State Warriors,Player Rebounds,Brandin Podziemski,Golden State Warriors,Charlotte Hornets,5.5,1.88,1.87,Neds
