Pos,Opponent,games,dvp,market_name
Point,Minnesota Timberwolves,9,-0.39532876748873846,Player Rebounds
Point,New York Knicks,11,-0.6770162973902782,Player Rebounds
Point,Dallas Mavericks,13,-0.6968109322269154,Player Rebounds
Point,New Orleans Pelicans,11,-0.778343607611899,Player Rebounds
Point,Houston Rockets,12,-0.832263713568571,Player Rebounds
Point,Phoenix Suns,9,-1.1354317419359108,Player Rebounds
Point,Miami Heat,11,-1.2209936535052104,Player Rebounds
Point,Milwaukee Bucks,9,-1.494999857131676,Player Rebounds
Wing,Houston Rockets,26,2.6144600774216187,Player Rebounds
Wing,Milwaukee Bucks,19,1.4837396917741978,Player Rebounds
Wing,Washington Wizards,25,1.2788824895081432,Player Rebounds
Wing,Boston Celtics,22,1.2311454598014624,Player Rebounds
Wing,Toronto Raptors,28,0.8177410411765862,Player Rebounds
Wing,Los Angeles Lakers,23,0.7874052144899713,Player Rebounds
Wing,Charlotte Hornets,26,0.6038159563048753,Player Rebounds
Wing,Oklahoma City Thunder,23,0.48477875334361564,Player Rebounds
Wing,Brooklyn Nets,29,0.41170146584523293,Player Rebounds
Wing,Dallas Mavericks,26,0.31077438624608344,Player Rebounds
Wing,Portland Trail Blazers,24,0.27907695588506853,Player Rebounds
Wing,New Orleans Pelicans,23,0.21409690960099237,Player Rebounds
Wing,Golden State Warriors,27,0.20864381520119224,Player Rebounds
Wing,Miami Heat,23,0.17999427763074793,Player Rebounds
Wing,Indiana Pacers,18,0.106219607569076,Player Rebounds
Wing,Sacramento Kings,18,-0.04042592362006081,Player Rebounds
Wing,Phoenix Suns,21,-0.07366615509614505,Player Rebounds
Wing,Orlando Magic,19,-0.12965186074429713,Player Rebounds
Wing,Memphis Grizzlies,22,-0.13795891308038755,Player Rebounds
Wing,Chicago Bulls,21,-0.1989113886003917,Player Rebounds
Wing,Detroit Pistons,21,-0.34184693520652853,Player Rebounds
Wing,Cleveland Cavaliers,21,-0.3696833674099822,Player Rebounds
Wing,Utah Jazz,27,-0.45522295603903906,Player Rebounds
Wing,San Antonio Spurs,20,-0.5281929925797619,Player Rebounds
Wing,Atlanta Hawks,21,-0.5550713598391308,Player Rebounds
Wing,Philadelphia 76ers,23,-0.5864064944416598,Player Rebounds
Wing,Denver Nuggets,19,-0.8553503980903117,Player Rebounds
Wing,LA Clippers,26,-1.128851302463341,Player Rebounds
Wing,New York Knicks,25,-1.4026702312233015,Player Rebounds
Wing,Minnesota Timberwolves,19,-1.5010334644463084,Player Rebounds
