Player,Team,Pos,MIN,Usage Rank,Usage
Xavier Tillman,MEM,Big,592,54,15.90%
Obi Toppin,IND,Big,1013,33,13.60%
Karl-Anthony Towns,MIN,Big,1384,91,25.20%
Gary Trent Jr.,TOR,Wing,1015,61,16.90%
PJ Tucker,LAC,Forward,171,0,4.90%
Myles Turner,IND,Big,1190,85,20.50%
Stanley Umude,DET,Wing,137,47,16.00%
Jonas Valanciunas,NOP,Big,1163,78,19.40%
Fred VanVleet,HOU,Point,1479,47,23.40%
Jarred Vanderbilt,LAL,Big,450,6,10.00%
Devin Vassell,SAS,Wing,1172,81,21.80%
Aleksandar Vezenkov,SAC,Forward,374,44,14.90%
Gabe Vincent,LAL,Combo,126,10,13.40%
Nikola Vucevic,CHI,Big,1347,88,22.20%
Dean Wade,CLE,Big,745,4,9.40%
Franz Wagner,ORL,Forward,1187,91,25.90%
Moritz Wagner,ORL,Big,772,76,19.20%
Jabari Walker,POR,Big,778,46,15.10%
Jarace Walker,IND,Big,103,66,17.50%
Lonnie Walker,BKN,Wing,457,89,23.70%
Cason Wallace,OKC,Combo,880,3,11.30%
PJ Washington,CHA,Big,996,72,18.80%
Yuta Watanabe,PHX,Forward,334,16,11.90%
Trendon Watford,BKN,Big,347,78,19.40%
Peyton Watson,DEN,Forward,718,45,15.10%
Victor Wembanyama,SAS,Big,1043,96,29.60%
Blake Wesley,SAS,Combo,177,22,15.40%
Russell Westbrook,LAC,Point,965,61,26.70%
Coby White,CHI,Combo,1599,70,23.20%
Derrick White,BOS,Combo,1285,58,20.60%
Cam Whitmore,HOU,Forward,234,71,18.40%
Aaron Wiggins,OKC,Forward,478,37,14.00%
Andrew Wiggins,GSW,Forward,942,76,20.20%
Grant Williams,DAL,Big,1029,27,12.70%
Jalen Williams,OKC,Wing,1283,88,23.00%
Jaylin Williams,OKC,Big,367,40,14.50%
Kenrich Williams,OKC,Big,483,28,12.90%
Mark Williams,CHA,Big,508,45,14.90%
Patrick Williams,CHI,Big,1136,51,15.70%
Robert Williams,POR,Big,118,22,12.10%
Ziaire Williams,MEM,Wing,726,73,18.50%
Vince Williams Jr.,MEM,Wing,757,31,13.70%
Zion Williamson,NOP,Big,1085,95,28.50%
James Wiseman,DET,Big,384,29,13.10%
Christian Wood,LAL,Big,676,59,16.40%
Delon Wright,WAS,Combo,344,32,16.60%
Thaddeus Young,TOR,Big,181,35,13.90%
Trae Young,ATL,Point,1413,97,35.60%
Omer Yurtseven,UTA,Big,198,48,15.30%
Cody Zeller,NOP,Big,172,18,11.70%
Ivica Zubac,LAC,Big,1028,42,14.60%
