timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,group_by_header,outcome_name,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,5.5,2.35,NA,Houston Rockets,NA,NA,1763344,51952711,23,NA,NA,0.43,NA,75,0.29,37,0.35,0.6,0.71,0.65,-0.13,NA,-0.07,NA,0.17,NA,Pointsbet,0.09999999999999998
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,5.5,2.35,1.55,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.43,0.65,75,0.29,37,0.35,0.6,0.71,0.65,-0.13,0.06,-0.07,0,0.17,-0.25,TAB,0.09999999999999998
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,5.5,2.35,1.55,Houston Rockets,NA,NA,NA,NA,NA,NA,2024-02-07,0.43,0.65,75,0.29,37,0.35,0.6,0.71,0.65,-0.13,0.06,-0.07,0,0.17,-0.25,Unibet,0.09999999999999998
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,5.5,2.3,1.57,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.43,0.64,75,0.29,37,0.35,0.6,0.71,0.65,-0.14,0.07,-0.08,0.01,0.17,-0.24,Neds,0.09999999999999998
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,5.5,2.25,NA,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.44,NA,75,0.29,37,0.35,0.6,0.71,0.65,-0.15,NA,-0.09,NA,0.16,NA,TAB,0.09999999999999998
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,5.5,2.1,1.57,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.48,0.64,75,0.29,37,0.35,0.6,0.71,0.65,-0.18,0.07,-0.12,0.01,0.12,-0.24,Neds,0.09999999999999998
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,3.5,1.38,NA,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.72,NA,75,0.57,37,0.62,0.8,0.43,0.38,-0.15,NA,-0.1,NA,0.08,NA,Sportsbet,0.09999999999999998
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,3.5,1.3,NA,Houston Rockets,Player Assists - Andrew Nembhard (IND),Andrew Nembhard 4+,NA,NA,NA,NA,NA,0.77,NA,75,0.57,37,0.62,0.8,0.43,0.38,-0.2,NA,-0.15,NA,0.03,NA,BetRight,0.09999999999999998
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,3.5,1.3,NA,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.77,NA,75,0.57,37,0.62,0.8,0.43,0.38,-0.2,NA,-0.15,NA,0.03,NA,TAB,0.09999999999999998
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,3.5,1.29,NA,Houston Rockets,NA,NA,1763344,51952711,22,NA,NA,0.78,NA,75,0.57,37,0.62,0.8,0.43,0.38,-0.2,NA,-0.15,NA,0.02,NA,Pointsbet,0.09999999999999998
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player Assists,Andrew Nembhard,Indiana Pacers,3.5,1.26,NA,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.79,NA,75,0.57,37,0.62,0.8,0.43,0.38,-0.22,NA,-0.17,NA,0.01,NA,Neds,0.09999999999999998
2024-02-06T12:49:43Z,Indiana Pacers v Houston Rockets,2024-02-07T00:00:00Z,Indiana Pacers,Houston Rockets,Player assists,Andrew Nembhard,Indiana Pacers,3.5,1.22,NA,Houston Rockets,NA,NA,NA,NA,NA,NA,NA,0.82,NA,75,0.57,37,0.62,0.8,0.43,0.38,-0.25,NA,-0.2,NA,-0.02,NA,BlueBet,0.09999999999999998
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,Collin Sexton,Utah Jazz,7.5,4,NA,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,NA,0.25,NA,48,0.02,50,0.06,0.1,0.98,0.94,-0.23,NA,-0.19,NA,-0.15,NA,Sportsbet,0.09999999999999998
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,Collin Sexton,Utah Jazz,7.5,3.6,NA,Oklahoma City Thunder,Player Assists - Collin Sexton (UTA),Collin Sexton 8+,NA,NA,NA,NA,NA,0.28,NA,48,0.02,50,0.06,0.1,0.98,0.94,-0.26,NA,-0.22,NA,-0.18,NA,BetRight,0.09999999999999998
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,Collin Sexton,Utah Jazz,7.5,3.6,NA,Oklahoma City Thunder,NA,NA,1763400,51963350,4,NA,NA,0.28,NA,48,0.02,50,0.06,0.1,0.98,0.94,-0.26,NA,-0.22,NA,-0.18,NA,Pointsbet,0.09999999999999998
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,Collin Sexton,Utah Jazz,7.5,3.5,NA,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,NA,0.29,NA,48,0.02,50,0.06,0.1,0.98,0.94,-0.26,NA,-0.23,NA,-0.19,NA,TAB,0.09999999999999998
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player assists,Collin Sexton,Utah Jazz,7.5,3.4,NA,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,NA,0.29,NA,48,0.02,50,0.06,0.1,0.98,0.94,-0.27,NA,-0.23,NA,-0.19,NA,BlueBet,0.09999999999999998
2024-02-06T12:49:43Z,Utah Jazz v Oklahoma City Thunder,2024-02-07T02:00:00Z,Utah Jazz,Oklahoma City Thunder,Player Assists,Collin Sexton,Utah Jazz,7.5,2.85,NA,Oklahoma City Thunder,NA,NA,NA,NA,NA,NA,NA,0.35,NA,48,0.02,50,0.06,0.1,0.98,0.94,-0.33,NA,-0.29,NA,-0.25,NA,Neds,0.09999999999999998
