timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,class_external_id,competition_external_id,event_external_id,market_id,player_id,player_id_unders,prop_id,under_prop_id,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player assists,Nikola Jokic,Denver Nuggets,11.5,3.5,NA,Philadelphia 76ers,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29,NA,68,0.25,39,0.23,0.2,0.75,0.77,-0.04,NA,-0.05,NA,-0.09,NA,BlueBet,0.12000000000000002
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player Assists,Nikola Jokic,Denver Nuggets,11.5,3.4,NA,Philadelphia 76ers,NA,NA,NA,NA,NA,NA,638917,NA,NA,0.29,NA,68,0.25,39,0.23,0.2,0.75,0.77,-0.04,NA,-0.06,NA,-0.09,NA,TAB,0.12000000000000002
2024-01-16T23:03:48Z,Philadelphia 76ers v Denver Nuggets,2024-01-17T00:30:00Z,Philadelphia 76ers,Denver Nuggets,Player Assists,Nikola Jokic,Denver Nuggets,11.5,3.05,NA,Philadelphia 76ers,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.33,NA,68,0.25,39,0.23,0.2,0.75,0.77,-0.08,NA,-0.1,NA,-0.13,NA,Neds,0.12000000000000002
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,11.5,9,NA,Phoenix Suns,16,19476,11625201,411828389,1842381249,NA,NA,NA,NA,0.11,NA,78,0.06,39,0.18,0.4,0.94,0.82,-0.05,NA,0.07,NA,0.29,NA,Sportsbet,0.12000000000000001
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,11.5,7.5,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13,NA,78,0.06,39,0.18,0.4,0.94,0.82,-0.07,NA,0.05,NA,0.27,NA,Pointsbet,0.12000000000000001
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,11.5,6.25,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16,NA,78,0.06,39,0.18,0.4,0.94,0.82,-0.1,NA,0.02,NA,0.24,NA,BetRight,0.12000000000000001
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,11.5,5.5,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,639288,NA,NA,0.18,NA,78,0.06,39,0.18,0.4,0.94,0.82,-0.12,NA,-0,NA,0.22,NA,TAB,0.12000000000000001
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player assists,Domantas Sabonis,Sacramento Kings,11.5,4.8,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.21,NA,78,0.06,39,0.18,0.4,0.94,0.82,-0.14,NA,-0.03,NA,0.19,NA,BlueBet,0.12000000000000001
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,11.5,4.4,NA,Phoenix Suns,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23,NA,78,0.06,39,0.18,0.4,0.94,0.82,-0.16,NA,-0.05,NA,0.17,NA,Neds,0.12000000000000001
2024-01-16T23:03:48Z,Phoenix Suns v Sacramento Kings,2024-01-17T02:00:00Z,Phoenix Suns,Sacramento Kings,Player Assists,Domantas Sabonis,Sacramento Kings,9.5,3.5,NA,Phoenix Suns,16,19476,11625201,411828388,1842381242,NA,NA,NA,NA,0.29,NA,78,0.22,39,0.31,0.5,0.78,0.69,-0.07,NA,0.02,NA,0.21,NA,Sportsbet,0.12
