timestamp,match,start_time,home_team,away_team,market_name,player_name,player_team,line,over_price,under_price,opposition_team,group_by_header,outcome_name,outcome_name_under,EventKey,MarketKey,OutcomeKey,OutcomeKey_unders,date,implied_prob_over,implied_prob_under,games_played_2022_2023,empirical_prob_over_2022_23,games_played_2023_2024,empirical_prob_over_2023_24,empirical_prob_last_10,empirical_prob_under_2022_23,empirical_prob_under_2023_24,diff_over_2022_23,diff_under_2022_23,diff_over_2023_24,diff_under_2023_24,diff_over_last_10,diff_under_last_10,agency,variation
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player Assists,Anfernee Simons,Portland Trail Blazers,7.5,4.2,NA,Minnesota Timberwolves,NA,NA,NA,1770531,52549397,44,NA,NA,0.24,NA,62,0.05,30,0.17,0.3,0.95,0.83,-0.19,NA,-0.07,NA,0.06,NA,Pointsbet,0.08000000000000002
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player assists,Anfernee Simons,Portland Trail Blazers,7.5,3.9,NA,Minnesota Timberwolves,NA,NA,NA,NA,NA,NA,NA,NA,0.26,NA,62,0.05,30,0.17,0.3,0.95,0.83,-0.21,NA,-0.09,NA,0.04,NA,BlueBet,0.08000000000000002
2024-02-16T00:54:41Z,Portland Trail Blazers v Minnesota Timberwolves,2024-02-16T03:00:00Z,Portland Trail Blazers,Minnesota Timberwolves,Player Assists,Anfernee Simons,Portland Trail Blazers,7.5,3.6,NA,Minnesota Timberwolves,NA,NA,NA,NA,NA,NA,NA,NA,0.28,NA,62,0.05,30,0.17,0.3,0.95,0.83,-0.23,NA,-0.11,NA,0.02,NA,TAB,0.08000000000000002
2024-02-16T00:54:41Z,Memphis Grizzlies v Milwaukee Bucks,2024-02-16T01:30:00Z,Memphis Grizzlies,Milwaukee Bucks,Player Assists,Damian Lillard,Milwaukee Bucks,7.5,3.3,NA,Memphis Grizzlies,NA,NA,NA,1770488,52551963,34,NA,NA,0.3,NA,58,0.52,50,0.36,0.3,0.48,0.64,0.21,NA,0.06,NA,-0,NA,Pointsbet,0.08000000000000002
2024-02-16T00:54:41Z,Memphis Grizzlies v Milwaukee Bucks,2024-02-16T01:30:00Z,Memphis Grizzlies,Milwaukee Bucks,Player Assists,Damian Lillard,Milwaukee Bucks,7.5,3.2,NA,Memphis Grizzlies,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,58,0.52,50,0.36,0.3,0.48,0.64,0.2,NA,0.05,NA,-0.01,NA,Sportsbet,0.08000000000000002
2024-02-16T00:54:41Z,Memphis Grizzlies v Milwaukee Bucks,2024-02-16T01:30:00Z,Memphis Grizzlies,Milwaukee Bucks,Player Assists,Damian Lillard,Milwaukee Bucks,7.5,3.2,NA,Memphis Grizzlies,NA,NA,NA,NA,NA,NA,NA,NA,0.31,NA,58,0.52,50,0.36,0.3,0.48,0.64,0.2,NA,0.05,NA,-0.01,NA,Sportsbet,0.08000000000000002
2024-02-16T00:54:41Z,Memphis Grizzlies v Milwaukee Bucks,2024-02-16T01:30:00Z,Memphis Grizzlies,Milwaukee Bucks,Player Assists,Damian Lillard,Milwaukee Bucks,7.5,2.9,1.35,Memphis Grizzlies,Player Assists Over/Under 7.5 - Damian Lillard (MIL),Damian Lillard Over 7.5,Damian Lillard Under 7.5,NA,NA,NA,NA,NA,0.34,0.74,58,0.52,50,0.36,0.3,0.48,0.64,0.17,-0.26,0.02,-0.1,-0.04,-0.04,BetRight,0.08000000000000002
2024-02-16T00:54:41Z,Memphis Grizzlies v Milwaukee Bucks,2024-02-16T01:30:00Z,Memphis Grizzlies,Milwaukee Bucks,Player Assists,Damian Lillard,Milwaukee Bucks,7.5,2.9,NA,Memphis Grizzlies,Player Assists - Damian Lillard (MIL),Damian Lillard 8+,NA,NA,NA,NA,NA,NA,0.34,NA,58,0.52,50,0.36,0.3,0.48,0.64,0.17,NA,0.02,NA,-0.04,NA,BetRight,0.08000000000000002
2024-02-16T00:54:41Z,Memphis Grizzlies v Milwaukee Bucks,2024-02-16T01:30:00Z,Memphis Grizzlies,Milwaukee Bucks,Player assists,Damian Lillard,Milwaukee Bucks,7.5,2.85,NA,Memphis Grizzlies,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,58,0.52,50,0.36,0.3,0.48,0.64,0.17,NA,0.01,NA,-0.05,NA,BlueBet,0.08000000000000002
2024-02-16T00:54:41Z,Memphis Grizzlies v Milwaukee Bucks,2024-02-16T01:30:00Z,Memphis Grizzlies,Milwaukee Bucks,Player Assists,Damian Lillard,Milwaukee Bucks,7.5,2.6,NA,Memphis Grizzlies,NA,NA,NA,NA,NA,NA,NA,NA,0.38,NA,58,0.52,50,0.36,0.3,0.48,0.64,0.13,NA,-0.02,NA,-0.08,NA,TAB,0.08000000000000002
